Topic 0,Topic 1,label
0.22835574,0.77164423,positive
0.012874367,0.98712564,positive
0.024066985,0.975933,negative
0.024370076,0.97563,positive
0.021133663,0.9788664,positive
0.10462021,0.8953798,positive
0.18155381,0.81844616,positive
0.9393244,0.060675588,neutral
0.5167385,0.48326156,negative
0.014664452,0.9853356,neutral
0.63580185,0.36419818,positive
0.45221135,0.5477886,neutral
0.056755915,0.9432441,neutral
0.9393247,0.06067533,neutral
0.022869315,0.9771307,negative
0.049434543,0.9505655,positive
0.47004735,0.52995265,positive
0.030747801,0.9692522,neutral
0.04536467,0.9546353,neutral
0.4537014,0.54629856,positive
0.08621795,0.91378206,negative
0.5,0.5,neutral
0.16293417,0.8370658,positive
0.9113379,0.088662066,positive
0.042876534,0.95712346,neutral
0.47921887,0.52078116,positive
0.36701575,0.6329842,neutral
0.7446884,0.2553116,positive
0.032384906,0.9676151,positive
0.025813801,0.97418624,positive
0.035731934,0.9642681,positive
0.012736321,0.98726374,positive
0.043251332,0.95674866,positive
0.018328033,0.981672,positive
0.016514331,0.98348564,negative
0.68066114,0.3193389,positive
0.025909297,0.97409075,negative
0.8051367,0.19486329,positive
0.023059776,0.9769402,negative
0.6402206,0.35977942,negative
0.013015486,0.98698455,positive
0.038736984,0.96126306,positive
0.01378776,0.9862122,negative
0.9318747,0.068125285,positive
0.023737201,0.9762628,neutral
0.03292651,0.96707344,negative
0.057381514,0.9426184,negative
0.44321603,0.5567839,positive
0.016767168,0.9832328,positive
0.41342878,0.5865712,positive
0.857717,0.142283,positive
0.011584996,0.988415,neutral
0.032864254,0.9671357,positive
0.018938323,0.9810617,negative
0.11686406,0.883136,neutral
0.048868354,0.95113164,neutral
0.4018788,0.5981212,positive
0.020374946,0.9796251,neutral
0.0718607,0.9281393,positive
0.14746043,0.85253966,positive
0.12773776,0.87226224,positive
0.13455656,0.8654434,neutral
0.65374887,0.34625113,positive
0.032039907,0.9679601,positive
0.39290243,0.6070975,neutral
0.023304308,0.9766957,positive
0.41829288,0.5817071,neutral
0.2982169,0.70178306,negative
0.01741283,0.9825872,negative
0.93932545,0.060674597,neutral
0.93932277,0.06067721,neutral
0.94953763,0.05046232,neutral
0.9113411,0.08865898,neutral
0.9393231,0.06067694,neutral
0.023069624,0.9769304,positive
0.4133057,0.5866943,positive
0.48696163,0.51303834,positive
0.016349664,0.9836503,negative
0.46224642,0.5377536,positive
0.43567982,0.5643202,neutral
0.5,0.5,neutral
0.022901732,0.9770982,neutral
0.016973432,0.98302656,neutral
0.03360758,0.9663924,positive
0.036810566,0.9631894,negative
0.6987113,0.30128875,positive
0.06623389,0.93376607,neutral
0.81447273,0.18552725,negative
0.84098566,0.15901431,neutral
0.14882791,0.8511721,positive
0.10198182,0.8980182,negative
0.9080913,0.09190873,positive
0.06825084,0.93174917,positive
0.043578517,0.9564215,positive
0.28429815,0.7157018,positive
0.89005375,0.1099462,neutral
0.12320532,0.8767947,neutral
0.028172731,0.9718272,negative
0.04889352,0.9511064,neutral
0.010119455,0.9898805,neutral
0.9755996,0.024400445,neutral
0.09697789,0.9030221,negative
0.01802202,0.98197794,neutral
0.9246596,0.07534038,positive
0.05083725,0.9491628,positive
0.14177416,0.8582259,positive
0.06280541,0.9371946,positive
0.075355746,0.92464423,positive
0.1338197,0.8661803,neutral
0.23631996,0.76368,positive
0.43621945,0.5637806,positive
0.020640159,0.97935987,neutral
0.012007302,0.98799264,neutral
0.12639041,0.8736096,neutral
0.029878946,0.970121,positive
0.0221038,0.9778962,positive
0.643116,0.35688394,negative
0.017361911,0.98263806,neutral
0.7083494,0.29165062,neutral
0.53660876,0.46339124,positive
0.23985863,0.7601414,positive
0.01833079,0.9816692,neutral
0.9126984,0.08730158,positive
0.50531584,0.49468413,neutral
0.015439315,0.9845607,positive
0.15062614,0.8493739,positive
0.62702084,0.37297916,neutral
0.01612887,0.98387116,neutral
0.24346666,0.7565333,positive
0.18153445,0.8184655,neutral
0.05858598,0.941414,negative
0.22876868,0.7712313,negative
0.014720116,0.98527986,neutral
0.028222041,0.971778,positive
0.93548495,0.06451501,positive
0.020259896,0.9797401,positive
0.024139646,0.97586036,positive
0.24270172,0.7572983,positive
0.037741117,0.9622589,negative
0.23799743,0.7620025,positive
0.030894965,0.969105,neutral
0.02773378,0.97226626,positive
0.020143056,0.9798569,positive
0.5741462,0.4258538,positive
