Topic 0,Topic 1
0.61725533,0.38274467
0.91661745,0.08338255
0.92646307,0.0735369
0.015036776,0.9849632
0.9773101,0.022689885
0.9733022,0.026697781
0.74265826,0.2573417
0.91661745,0.08338254
0.9737875,0.026212467
0.7269751,0.27302495
0.44549763,0.55450237
0.71586716,0.28413284
0.9457533,0.054246664
0.8925655,0.1074345
0.8926333,0.10736669
0.66411483,0.33588517
0.94018644,0.059813507
0.68521434,0.31478563
0.9344333,0.065566674
0.96280074,0.037199225
0.6326105,0.3673895
0.9643967,0.03560331
0.8736256,0.1263744
0.91661745,0.08338255
0.887082,0.11291804
0.96410286,0.035897117
0.9378569,0.062143102
0.053558182,0.9464418
0.27075633,0.72924364
0.9321683,0.06783168
0.97483027,0.025169723
0.9257864,0.07421361
0.94441104,0.055588935
0.94406265,0.05593734
0.024548467,0.9754515
0.82220256,0.17779742
0.088010125,0.91198987
0.6306732,0.3693268
0.9078028,0.092197135
0.89411914,0.10588089
0.9675918,0.032408223
0.8829811,0.11701887
0.96249175,0.037508264
0.26237613,0.7376239
0.91661745,0.08338254
0.9477483,0.05225169
0.5907009,0.40929905
0.5991867,0.40081325
0.9667097,0.033290368
0.6503299,0.3496701
0.89118224,0.10881776
0.304472,0.69552803
0.96968037,0.030319612
0.9769487,0.023051286
0.97596157,0.02403841
0.87206596,0.12793401
0.9499687,0.05003125
0.9757861,0.024213856
0.18458804,0.8154119
0.9052799,0.0947201
0.91661745,0.08338255
0.60909003,0.39090994
0.95665026,0.043349754
0.45410705,0.5458929
0.49143097,0.508569
0.9473534,0.052646607
0.73932785,0.26067215
0.6685557,0.33144432
0.9667833,0.03321673
0.15994002,0.84005994
0.48428503,0.51571494
0.9504412,0.049558815
0.9794083,0.020591654
0.9794082,0.020591823
0.09278597,0.907214
0.021878533,0.97812146
0.91661745,0.08338254
0.811706,0.188294
0.48291638,0.5170836
0.9749682,0.025031848
0.20526639,0.7947336
0.8797334,0.12026665
0.77062714,0.22937283
0.8803596,0.11964037
0.06950309,0.9304969
0.95984644,0.040153585
0.65776205,0.342238
0.966706,0.033294003
0.91661745,0.08338254
0.08389032,0.9161097
0.43484434,0.5651557
0.74955374,0.25044623
0.3021008,0.6978992
0.9777448,0.022255214
0.6277194,0.37228057
0.5,0.5
0.9092889,0.09071108
0.9109325,0.089067526
0.915666,0.084333986
0.91661745,0.08338255
0.041834265,0.95816576
0.899824,0.10017598
0.97415614,0.025843872
0.95547575,0.044524252
0.4799765,0.52002347
0.33513582,0.6648641
0.19318633,0.80681366
0.29921114,0.70078886
0.91708773,0.08291226
0.091229185,0.90877086
0.21363917,0.7863608
0.8164354,0.1835646
0.9211157,0.0788843
0.041241482,0.95875853
0.57285035,0.42714968
0.8897101,0.110289864
0.98029727,0.019702677
0.91661745,0.08338254
0.5,0.5
0.8963677,0.1036322
0.53703374,0.4629662
0.2879678,0.7120322
0.86158645,0.13841355
0.44048944,0.5595106
0.43460673,0.56539327
0.11778639,0.8822136
0.958961,0.04103895
0.9525575,0.047442496
0.91661745,0.08338255
0.84389895,0.15610099
0.7365294,0.2634706
0.91661745,0.08338255
0.95731175,0.042688295
0.47997785,0.5200221
0.9196464,0.08035364
0.944086,0.05591402
0.55773306,0.4422669
0.9496812,0.05031882
0.71587366,0.2841264
0.9250706,0.07492942
0.91661745,0.08338254
0.8642578,0.13574216
0.5307903,0.46920967
0.6138432,0.3861568
0.24828108,0.7517189
0.9464689,0.05353113
0.9464627,0.053537276
0.97649795,0.02350207
0.66782224,0.33217776
0.22805592,0.77194405
0.7999024,0.2000976
0.97865987,0.021340102
0.9445575,0.05544252
0.9785807,0.021419328
0.19876888,0.8012311
0.06519582,0.93480414
0.6147123,0.38528764
0.9812247,0.018775241
0.11124353,0.8887565
0.034605358,0.9653947
0.91661745,0.08338255
0.97739714,0.022602828
0.48018733,0.51981264
0.05681142,0.9431886
0.031629793,0.9683702
0.9770528,0.022947222
0.03978298,0.960217
0.5,0.5
0.91661745,0.08338255
0.28527406,0.714726
0.97106284,0.028937213
0.5844368,0.4155632
0.25721893,0.74278104
0.25723395,0.742766
0.96422553,0.035774462
0.5,0.5
0.2728883,0.7271117
0.8566506,0.14334945
0.6519225,0.34807754
0.9346531,0.065346934
0.91661745,0.08338255
0.1293563,0.87064373
0.566672,0.43332797
0.5,0.5
0.97675675,0.023243278
0.89193213,0.10806784
0.91661745,0.08338254
0.64095396,0.35904598
0.93841475,0.061585207
0.9604253,0.039574686
0.9620232,0.037976854
0.9795906,0.020409418
0.95709443,0.04290557
0.91661745,0.08338255
0.97569776,0.02430227
0.44878834,0.55121166
0.80097526,0.19902472
0.9451743,0.054825775
0.46630502,0.533695
0.8750585,0.12494145
0.98159975,0.018400267
0.33443052,0.66556954
0.91661745,0.08338255
0.8805364,0.119463585
0.7160127,0.2839873
0.96980715,0.030192856
0.94299626,0.057003777
0.15527609,0.8447239
0.259351,0.74064904
0.9802382,0.019761803
0.032205608,0.9677944
0.93174607,0.06825397
0.30110833,0.6988917
0.42625812,0.57374185
0.34017798,0.65982205
0.9697745,0.030225499
0.91661745,0.08338254
0.34281483,0.6571852
0.045349862,0.95465016
0.98038965,0.01961035
0.9316788,0.06832125
0.22722115,0.77277887
0.92580575,0.074194215
0.9794098,0.020590197
0.96269715,0.037302807
0.9559675,0.044032484
0.78117824,0.21882173
0.91661745,0.08338255
0.034444783,0.9655552
0.87666065,0.12333937
0.05609576,0.9439042
0.8416944,0.1583056
0.2630056,0.7369944
0.914646,0.085353985
0.9816607,0.018339239
0.5,0.5
0.49372417,0.50627583
0.7494699,0.25053015
0.8839276,0.11607238
0.91661745,0.08338254
0.97363937,0.026360588
0.8222867,0.17771329
0.036695052,0.96330494
0.034388237,0.9656118
0.13521063,0.86478937
0.526213,0.47378707
0.045337617,0.9546624
0.37622702,0.62377304
0.54325354,0.4567465
0.97014505,0.02985491
0.031141525,0.9688585
0.036697626,0.9633024
0.9514813,0.048518714
0.03669196,0.96330804
0.5,0.5
0.91661745,0.08338255
0.2974753,0.70252466
0.03443999,0.96556
0.031128239,0.9688717
0.8034425,0.1965575
0.040187716,0.9598123
0.271177,0.728823
0.6354974,0.36450267
0.5505013,0.44949868
0.7564312,0.24356872
0.7732503,0.22674972
0.030080365,0.9699196
0.97498184,0.025018195
0.9737123,0.026287695
0.9749606,0.025039395
0.92096466,0.079035304
0.6693246,0.33067548
0.9706213,0.0293787
0.9339834,0.06601665
0.97559595,0.02440406
0.8837256,0.1162744
0.9801984,0.01980162
0.91661745,0.08338255
0.8884679,0.11153213
0.49869025,0.50130975
0.4911564,0.50884366
0.89974886,0.100251086
0.5,0.5
