Topic 0,Topic 1
0.2525098,0.7474902
0.93932354,0.06067643
0.046367027,0.953633
0.9856515,0.014348508
0.013666651,0.9863333
0.0202457,0.9797543
0.018778535,0.98122144
0.93932426,0.060675792
0.07073035,0.9292696
0.22179614,0.77820385
0.023404842,0.9765951
0.59988487,0.4001151
0.043227244,0.95677274
0.083872564,0.9161274
0.08387999,0.91612
0.012426293,0.9875737
0.03214546,0.9678545
0.022090118,0.97790986
0.013064981,0.986935
0.19107315,0.8089269
0.01378738,0.9862126
0.02293747,0.9770625
0.0650425,0.9349575
0.9393255,0.060674507
0.30437845,0.69562155
0.023223573,0.9767764
0.050094873,0.94990516
0.94510967,0.05489035
0.18177037,0.8182297
0.28772292,0.7122771
0.07946863,0.92053133
0.045053188,0.9549468
0.09355491,0.9064451
0.03899473,0.9610052
0.97227275,0.027727254
0.07179502,0.92820495
0.043251023,0.95674896
0.27350512,0.7264949
0.29516152,0.7048385
0.027255613,0.9727444
0.08473012,0.91526985
0.09316921,0.9068308
0.021414407,0.9785856
0.7015063,0.29849368
0.9393245,0.06067556
0.09257152,0.9074285
0.023697892,0.9763021
0.13138661,0.86861336
0.025703166,0.9742968
0.10103009,0.89896995
0.89612305,0.10387698
0.7199757,0.2800243
0.013737088,0.9862629
0.14299151,0.85700846
0.012019305,0.9879807
0.17933701,0.820663
0.3628543,0.63714576
0.014302621,0.9856974
0.6143954,0.3856046
0.09254194,0.907458
0.9393263,0.060673714
0.337685,0.662315
0.017576786,0.98242325
0.49580926,0.50419074
0.32423115,0.67576885
0.051462173,0.9485378
0.3128792,0.68712074
0.021077998,0.978922
0.43749645,0.5625035
0.56661737,0.4333826
0.3257944,0.67420566
0.03291717,0.9670828
0.016311938,0.9836881
0.016308906,0.9836911
0.75956357,0.24043643
0.8851441,0.11485591
0.93932384,0.060676157
0.01791081,0.9820892
0.5994855,0.40051445
0.01321697,0.986783
0.037649516,0.96235055
0.061579525,0.9384205
0.023486957,0.976513
0.07394995,0.92605007
0.9467018,0.053298164
0.02105524,0.9789448
0.2133434,0.7866566
0.08970403,0.91029596
0.9393264,0.06067362
0.5602649,0.4397351
0.49630138,0.50369865
0.08709363,0.91290635
0.07567406,0.9243259
0.079727,0.92027295
0.24994116,0.7500588
0.5,0.5
0.079727694,0.9202723
0.11220701,0.887793
0.03795847,0.9620415
0.93932587,0.060674112
0.5965371,0.40346286
0.09220763,0.9077924
0.017105501,0.98289454
0.021035535,0.97896445
0.018981667,0.9810183
0.019421322,0.9805787
0.7605185,0.23948148
0.056861464,0.94313854
0.07058081,0.92941916
0.4398827,0.56011736
0.39543554,0.6045645
0.23737058,0.7626294
0.06291865,0.9370814
0.83628225,0.16371778
0.71344954,0.28655055
0.12020545,0.87979454
0.31595883,0.68404114
0.939327,0.060672972
0.5,0.5
0.7059637,0.29403636
0.23158687,0.7684131
0.23697057,0.76302946
0.09828016,0.9017198
0.070410185,0.92958987
0.19731618,0.80268383
0.55080056,0.44919944
0.028534064,0.9714659
0.032104027,0.967896
0.93932366,0.06067631
0.019604713,0.9803953
0.95747286,0.04252716
0.939323,0.060676973
0.038655538,0.9613444
0.10304215,0.8969578
0.029985253,0.97001475
0.0358845,0.96411544
0.03848167,0.9615183
0.028694434,0.97130555
0.5998324,0.4001676
0.045247205,0.95475286
0.9393244,0.060675673
0.084903434,0.9150966
0.4301529,0.56984717
0.3164098,0.6835902
0.055507194,0.94449276
0.12773101,0.872269
0.09090593,0.9090941
0.06085181,0.93914825
0.021360153,0.97863984
0.6653877,0.3346123
0.17883214,0.8211678
0.013622814,0.9863772
0.04254387,0.9574561
0.01341704,0.986583
0.5595261,0.4404739
0.695739,0.3042611
0.9333733,0.06662669
0.01322029,0.98677975
0.9225354,0.07746455
0.9575495,0.042450488
0.93932354,0.060676463
0.014065197,0.9859348
0.30542502,0.69457495
0.9452044,0.054795623
0.9767788,0.023221185
0.010878777,0.9891212
0.9615773,0.038422722
0.5,0.5
0.9393252,0.060674813
0.12987404,0.87012595
0.021017296,0.97898275
0.35173953,0.6482605
0.030608207,0.9693918
0.030623911,0.9693761
